Product Name,Rating,Customers_Rated,Price,Category
"BRG Compatible with Airpods Pro Case,Soft Silicone Skin Case Cover Shock-Absorbing Protective Case with Keychain [Front LED V",4.3 out of 5 stars,"81,211",$6.99,Electronics
"Platinum Dishwasher Pods, ActionPacs Dishwasher Detergent, Lemon",4.8 out of 5 stars,"10,677",$19.47,Health and Household
"Waterpik Cordless Advanced Water Flosser For Teeth, Gums, Braces, Dental Care With Travel Bag and 4 Tips, ADA Accepted, Recha",4.4 out of 5 stars,"49,553",$79.99,Health and Household
It Ends with Us: A Novel (1),4.7 out of 5 stars,"190,718",$9.99,Books
"All-new Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",3.8 out of 5 stars,314,$139.99,Electronics
"7am2m Sonic Electric Toothbrush with 6 Brush Heads for Adults and Kids, One Charge for 90 Days, Wireless Fast Charge, 5 Modes",4.4 out of 5 stars,"14,406",$25.99,Health and Household
Number One Is Walking: My Life in the Movies and Other Diversions,4.6 out of 5 stars,11,$21.00,Books
"Duracell Coppertop 9V Battery, 4 Count Pack, 9-Volt Battery with Long-lasting Power, All-Purpose Alkaline 9V Battery for Hous",4.8 out of 5 stars,"35,540",$12.19,Health and Household
"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with C",4.3 out of 5 stars,"24,623",$97.99,Electronics
"Garden of Life Raw Organic Meal Replacement Shakes - Chocolate Plant Based Vegan Protein Powder, Pea Protein, Sprouts, Greens",4.4 out of 5 stars,"30,563",$45.49,Health and Household
"Kleenex Expressions Disposable Paper Hand Towels, Paper Hand Towels for Bathroom, 6 Boxes, 60 Hand Towels per Box (360 Total ",4.8 out of 5 stars,"21,271",$21.99,Health and Household
CR2450 3V Lithium Battery (5pcs),4.7 out of 5 stars,"5,363",$5.99,Health and Household
"MODVEL Knee Braces for Knee Pain Women & Men - 2 Pack Knee Brace for Knee Pain Set, Knee Brace Compression Sleeve, Knee Brace",4.4 out of 5 stars,"46,680",$20.93,Health and Household
The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,4.8 out of 5 stars,"7,906",$16.43,Books
HumanN SuperBeets Heart Chews - Nitric Oxide Production for Daily Blood Pressure Support & Circulation - Grape Seed Extract &,4.5 out of 5 stars,"43,496",$37.95,Health and Household
"Zacurate Pro Series 500DL Fingertip Pulse Oximeter Blood Oxygen Saturation Monitor with Silicon Cover, Batteries and Lanyard ",4.7 out of 5 stars,"206,489",$21.98,Health and Household
"Bluetooth Wireless Earbuds,Kurdene S8 Deep Bass Sound 38H Playtime IPX8 Waterproof Earphones Call Clear with Microphone in-Ea",4.3 out of 5 stars,"59,709",$16.99,Electronics
"Dr. Seuss's Beginner Book Collection (Cat in the Hat, One Fish Two Fish, Green Eggs and Ham, Hop on Pop, Fox in Socks)",4.9 out of 5 stars,"21,633",$26.47,Books
How to Catch a Mermaid,4.8 out of 5 stars,"30,388",$5.23,Books
"Tide PODS Plus Downy 4 in 1 HE Turbo Laundry Detergent Soap Pods, April Fresh Scent, 61 Count Tub - Packaging May Vary",4.8 out of 5 stars,"21,494",$22.68,Health and Household
unknown-product,4.1 out of 5 stars,20,,Electronics
"Duracell Optimum AAA Batteries with Power Boost Ingredients, 12 Count Pack Double A Battery with Long-lasting Power, All-Purp",4.8 out of 5 stars,"51,637",$9.99,Health and Household
"6S Wireless Bluetooth Headphones Over Ear, Hi-Fi Stereo Foldable Wireless Stereo Headsets Earbuds with Built-in Mic, Volume C",4.3 out of 5 stars,"8,604",$19.99,Electronics
"The Little Blue Box of Bright and Early Board Books by Dr. Seuss: Hop on Pop; Oh, the Thinks You Can Think!; Ten Apples Up On Top!; The Shape of Me and Other Stuff (Bright & Early Board Books(TM))",4.8 out of 5 stars,"14,023",$10.78,Books
Turmeric Curcumin with BioPerine 1500mg - Natural Joint & Healthy Inflammatory Support with 95% Standardized Curcuminoids for,4.5 out of 5 stars,"84,733",$18.79,Health and Household
"Vital Proteins Collagen Peptides Powder with Hyaluronic Acid and Vitamin C, Unflavored, 20 oz",4.6 out of 5 stars,"210,508",$52.00,Health and Household
How to Catch a Turkey,4.8 out of 5 stars,"4,060",$7.70,Books
"Tracki GPS Tracker for Vehicles, Car, Kids, Dogs, Motorcycle. 4G LTE GPS Tracking Device. Unlimited Distance US & Worldwide. ",4.1 out of 5 stars,"35,541",$16.88,Electronics
